Code Smell,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35
S1,0,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15129,15128,15128
S2,15131,0,15131,15131,15131,15131,15131,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15129,15129,15129,15129,15129,15128,15127,15127
S3,15131,15131,0,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131
S4,15131,15131,15131,0,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131
S5,15131,15131,15131,15131,0,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15130,15130,15130
S6,15131,15131,15131,15131,15131,0,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131
S7,15131,15131,15131,15131,15131,15131,0,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131
S8,15131,15131,15131,15131,15131,15131,15131,0,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15130,15130
S9,15131,15131,15131,15131,15131,15131,15131,15131,0,15131,15131,15131,15131,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130
S10,15131,15131,15131,15131,15131,15131,15131,15131,15131,0,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131
S11,15131,15131,15131,15131,15131,15131,15131,15130,15130,15130,0,15130,15130,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15128,15128,15128,15128,15128,15127,15126,15126
S12,15131,15131,15131,15131,15131,15131,15131,15131,15130,15130,15130,0,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15129,15129,15129,15129
S13,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,0,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131
S14,15131,15131,15131,15131,15131,15131,15131,15131,15130,15130,15130,15130,15130,0,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15129,15129,15129,15129,15129,15128,15127,15126,15126
S15,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,0,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131
S16,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,0,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131
S17,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,0,15131,15131,15131,15131,15131,15131,15131,15131,15131,15130,15129,15129,15129,15129,15129,15128,15128,15128
S18,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,0,15131,15131,15131,15131,15131,15131,15131,15131,15130,15130,15130,15130,15130,15130,15129,15129,15129
S19,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,0,15131,15131,15131,15131,15131,15131,15131,15131,15130,15130,15130,15130,15130,15130,15130,15130
S20,15131,15131,15131,15131,15131,15131,15131,15131,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,0,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130
S21,15131,15131,15131,15131,15131,15131,15131,15131,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,0,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130
S22,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,0,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131
S23,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,0,15131,15131,15131,15130,15129,15129,15129,15129,15128,15128,15128,15128
S24,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,0,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131
S25,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,0,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131
S26,15131,15131,15131,15131,15131,15131,15131,15130,15130,15130,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,0,15129,15128,15128,15128,15128,15128,15128,15127,15127
S27,15131,15131,15131,15131,15131,15131,15131,15130,15129,15129,15128,15128,15128,15127,15127,15127,15127,15127,15127,15127,15127,15127,15127,15127,15127,15127,0,15127,15127,15127,15127,15126,15126,15126,15126
S28,15131,15131,15131,15131,15131,15131,15131,15130,15129,15129,15128,15128,15128,15128,15128,15128,15128,15128,15128,15128,15128,15128,15128,15128,15128,15128,15127,0,15127,15127,15127,15126,15126,15126,15126
S29,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,0,15131,15131,15131,15131,15131,15131
S30,15131,15131,15131,15131,15131,15131,15131,15131,15130,15130,15129,15129,15129,15128,15128,15128,15128,15128,15128,15128,15128,15128,15128,15128,15128,15128,15128,15128,15128,0,15128,15127,15127,15127,15127
S31,15131,15131,15131,15131,15131,15131,15131,15131,15130,15130,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,0,15129,15129,15129,15129
S32,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15129,15129,15129,15129,15129,0,15129,15128,15128
S33,15131,15131,15131,15131,15131,15131,15131,15130,15129,15129,15128,15128,15128,15127,15127,15127,15127,15127,15127,15127,15127,15127,15127,15127,15127,15127,15126,15125,15125,15125,15125,15124,0,15123,15123
S34,15131,15131,15131,15131,15131,15131,15131,15130,15130,15130,15130,15130,15130,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15128,15127,15127,15127,15127,15127,15126,0,15126
S35,15131,15131,15131,15131,15131,15131,15131,15131,15130,15130,15130,15130,15130,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15128,15128,15128,15128,15128,15127,15126,15126,0
